session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,churn,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,rad,ret_next,fundamental_gap,surge,crash,normalized_mispricing,bubble_period,bubble_start,shares,cash,wealth_day,rel_wealth,next_avg_price,forecast_err_price,forecast_err_fund,forecast_bias_fund,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,trader_type,gross,session_id,group_label,above_median_literacy
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,1,5955.0,2600.0,20.0,8.0,,,2389.0,23.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,105.5,-14.5,14.5,112.0,99.0,112.0,99.0,120,,,112.0,,0.1208333333333333,0.2265625,0.0,-0.125,0,0,-0.1208333333333333,0,0,22.0,2565.0,5029.0,29.0,,,,,0.0015222222222222,1.0,0.0,0.0,0.0,0.0,feedback,2.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,2,5955.0,2600.0,20.0,8.0,,,2573.0,23.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,2.0,2.0,,,0.0,,,,112.0,,,,112,112.0,,95.0,0.0,,,-0.1646219796945534,0.0,0,0,,0,0,22.0,2741.0,5029.0,29.0,96.0,,,,0.0015222222222222,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,3,5955.0,2600.0,20.0,20.0,0.0,0.0,2562.0,24.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,96.0,-8.0,8.0,95.0,100.0,100.0,93.0,104,112.0,112.0,90.5,-0.1517857142857143,0.0769230769230769,0.125,-0.04852704089466,-0.140625,0,0,-0.0769230769230769,0,0,24.0,3026.0,5330.0,150.0,90.75,1.41796875,1.5,-1.5,0.01001716001716,1.0,0.0,0.0,0.0,0.0,feedback,2.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,4,5955.0,2600.0,20.0,20.0,,,3042.0,24.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,3.0,3.0,,,2.0,90.75,-5.25,5.25,90.5,91.0,91.0,90.5,96,95.0,112.0,88.5,-0.0473684210526316,0.0546875,0.08203125,-0.0223472986919972,-0.0859375,0,0,-0.0546875,0,0,24.0,3506.0,5618.0,258.0,89.6,,,,0.0184079601990049,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,5,5955.0,2600.0,20.0,4.0,,,3702.5,22.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,2.0,-2.0,1.0,1.0,1.0,0.0,5.0,89.6,1.6,1.6,88.5,90.5,90.5,88.5,88,90.5,95.0,70.0,-0.0220994475138122,0.0181818181818181,0.025,-0.234507309964524,0.0078125,0,0,0.0181818181818181,0,0,22.0,3774.5,5534.5,234.5,82.0,,,,0.0160691823899371,1.0,0.0,0.0,0.0,0.0,feedback,2.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,6,5955.0,2600.0,20.0,20.0,80.0,5.0,4028.5,19.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,3.0,-3.0,0.0,0.0,1.0,0.0,6.0,82.0,2.0,5.333333333333333,70.0,88.0,88.0,70.0,80,88.5,90.5,79.0,-0.2090395480225988,0.0666666666666666,0.0833333333333333,0.1209526104176621,-0.15625,0,0,0.025,0,0,19.0,4392.5,5760.5,280.5,64.85714285714286,0.2366071428571428,0.125,0.125,0.0222424979724249,1.0,0.0,0.0,0.0,0.0,feedback,3.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,7,5955.0,2600.0,20.0,4.0,,,4231.5,22.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,3.0,0.0,3.0,0.0,0.0,1.0,0.0,7.0,64.85714285714286,-7.142857142857143,10.0,79.0,58.0,79.0,55.0,72,70.0,88.5,60.0,0.1285714285714285,0.1388888888888889,0.15625,-0.2751032902449211,0.109375,0,0,-0.0992063492063491,0,0,22.0,4303.5,5711.5,291.5,75.0,,,,0.0219044690446904,1.0,0.0,0.0,0.0,0.0,feedback,3.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,8,5955.0,2600.0,20.0,20.0,,,4319.5,24.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,3.0,3.0,,,6.0,75.0,11.0,13.333333333333334,60.0,79.0,90.0,60.0,64,79.0,70.0,60.0,-0.240506329113924,0.2083333333333333,0.2083333333333333,0.0,-0.0625,0,0,0.171875,0,0,22.0,4743.5,5975.5,375.5,62.25,,,,0.0290376984126984,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,9,5955.0,2600.0,20.0,0.0,60.0,4.0,4864.5,22.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,1.0,-1.0,3.0,3.0,1.0,0.0,4.0,62.25,6.25,6.25,60.0,65.0,65.0,60.0,56,60.0,79.0,48.0,0.0,0.1116071428571428,0.09765625,-0.2231435513142092,0.0625,0,0,0.1116071428571428,0,0,21.0,4808.5,5816.5,336.5,49.1,0.1703124999999999,0.1875,0.1875,0.0237226277372262,1.0,0.0,0.0,0.0,0.0,feedback,1.0,20260512,20260512/ng1,1
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,10,5955.0,2600.0,20.0,8.0,,,4864.5,21.0,5815.0,0.8333333333333334,3.0,-0.5333333333333334,1,0,25.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,5.0,5.0,,,5.0,49.1,1.1,1.1,48.0,50.0,50.0,48.0,48,60.0,60.0,45.0,-0.1999999999999999,0.0229166666666666,0.0171875,-0.0645385211375715,0.0,0,0,0.0229166666666666,0,0,21.0,4976.5,5816.5,336.5,49.15,,,,0.0238087996755879,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260512,20260512/ng1,1
