session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
yp9emivj,7,5h2wf022,16,trader_bridge_app,ResumeTradingSession,1787753461,2,0,1
q2uzwrke,1,92eypnyh,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,2,4p4bxdks,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,3,1y1fmxh4,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,4,yyhl1m0v,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,5,edxyk9dw,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,6,rwcm4r8f,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,7,7g7d2gpm,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,8,mtbht5gb,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,9,ev19ndvk,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,10,brk7umva,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,11,5bn07pj6,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,12,mrmdneuj,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,13,f3mphw9o,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,14,cyg00ds2,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,15,uqq53dhb,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,16,g8furig5,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,17,9rjegrhf,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,18,wqftgkbl,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,19,apzj4yol,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,20,snchrzvy,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,22,9mbxlv2t,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,21,f91zrrno,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,23,7o8xvt2o,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,24,zhzlqg1e,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,25,pudy6lk1,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,26,grusydd1,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,27,wkkj7ya7,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,28,e1gm0pyc,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,29,6geodwqp,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,30,u1o2yo0d,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,31,yobjlrr4,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,32,1mrh7feb,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,33,9h22z7kz,0,,InitializeParticipant,1787758105,1,0,0
q2uzwrke,34,qxqa9r8o,0,,InitializeParticipant,1787758106,1,0,0
q2uzwrke,11,5bn07pj6,1,intro,Consent,1787758112,1,0,0
q2uzwrke,6,rwcm4r8f,1,intro,Consent,1787758112,1,0,0
q2uzwrke,15,uqq53dhb,1,intro,Consent,1787758113,1,0,0
q2uzwrke,2,4p4bxdks,1,intro,Consent,1787758113,1,0,0
q2uzwrke,34,qxqa9r8o,1,intro,Consent,1787758113,1,0,0
q2uzwrke,28,e1gm0pyc,1,intro,Consent,1787758113,1,0,0
q2uzwrke,22,9mbxlv2t,1,intro,Consent,1787758113,1,0,0
q2uzwrke,24,zhzlqg1e,1,intro,Consent,1787758113,1,0,0
q2uzwrke,14,cyg00ds2,1,intro,Consent,1787758113,1,0,0
q2uzwrke,21,f91zrrno,1,intro,Consent,1787758114,1,0,0
